identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:19:05.515Z
84e1687f14f14f558815687d6cd6a2a4,84e1687f14f14f558815687d6cd6a2a4,uuid,84e1687f14f14f558815687d6cd6a2a4,MaksW0515,41,false,network,false,false,,200,1298,2026-03-13T16:19:05.515Z
543d03ccad97413c9ca542a412e09f68,543d03ccad97413c9ca542a412e09f68,uuid,543d03ccad97413c9ca542a412e09f68,Werev,22,false,network,false,false,,200,171,2026-03-13T16:11:40.503Z
ddb832c2b7ca4be1bd565ecfbfc37707,ddb832c2b7ca4be1bd565ecfbfc37707,uuid,ddb832c2b7ca4be1bd565ecfbfc37707,ShadyZiada,9,false,network,false,false,,200,281,2026-03-13T16:11:40.503Z
1ead97aa12a5461687ead34a4f8ef175,1ead97aa12a5461687ead34a4f8ef175,uuid,1ead97aa12a5461687ead34a4f8ef175,i714700f,21,false,network,false,false,,200,383,2026-03-13T16:11:40.503Z
dcfcb7d167bb4ceb95cea43c0c71ba23,dcfcb7d167bb4ceb95cea43c0c71ba23,uuid,dcfcb7d167bb4ceb95cea43c0c71ba23,Wanoaqt,11,false,network,false,false,,200,300,2026-03-13T16:11:40.503Z
312b45fd854d475db4d434b67bfcc2e2,312b45fd854d475db4d434b67bfcc2e2,uuid,312b45fd854d475db4d434b67bfcc2e2,PrintedBucket,26,false,network,false,false,,200,502,2026-03-13T16:11:40.503Z
4a09abaefd8b4d8ca9b1310d0d2ea8dc,4a09abaefd8b4d8ca9b1310d0d2ea8dc,uuid,4a09abaefd8b4d8ca9b1310d0d2ea8dc,Delouse,495,false,network,false,false,,200,677,2026-03-13T16:11:40.503Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:11:40.503Z
e4b64c79b1c44bf6a85a3925d9c4218c,e4b64c79b1c44bf6a85a3925d9c4218c,uuid,e4b64c79b1c44bf6a85a3925d9c4218c,_Clxsty_,29,false,network,false,false,,200,880,2026-03-13T16:11:40.503Z
